"","gene_name","gene_id","pct.1","pct.2","avg_logFC","p_val","FDR","seqnames"
"1","dat-1","WBGene00000934",0.821,0.003,1.26132660193799,0,0,"T23G5.5"
"2","F09E10.7","WBGene00017297",0.833,0.023,1.22532031416171,0,0,"F09E10.7"
"3","F59F3.6","WBGene00010335",0.776,0.007,1.20411760681941,0,0,"F59F3.6"
"4","F58H7.1","WBGene00019067",0.723,0.014,1.13007870050858,0,0,"F58H7.1"
"5","asic-1","WBGene00022815",0.706,0.027,1.08060459038853,0,0,"ZK770.1"
"6","tba-9","WBGene00006535",0.652,0.028,1.01647509333642,0,0,"F40F4.5"
"7","cat-2","WBGene00000296",0.568,0.002,0.978384135024909,0,0,"B0432.5"
"8","R11D1.12","WBGene00045336",0.655,0.052,0.964037696901124,0,0,"R11D1.12"
"9","nlp-71","WBGene00022254",0.682,0.075,0.943596866097795,0,0,"Y73B6BL.35"
"10","daf-7","WBGene00000903",0.596,0.04,0.922038825003792,0,0,"B0412.2"
"11","twnk-1","WBGene00018514",0.541,0.014,0.914392310769781,0,0,"F46G11.1"
"12","nlp-45","WBGene00020136",0.646,0.072,0.907791411426687,0,0,"T01B6.4"
"13","ast-1","WBGene00020368",0.697,0.107,0.89103514784835,0,0,"T08H4.3"
"14","C33A12.4","WBGene00007883",0.713,0.14,0.843661793989979,0,0,"C33A12.4"
"15","ggr-2","WBGene00001587",0.549,0.06,0.816753912531026,0,0,"C45B2.4"
"16","hot-2","WBGene00001987",0.57,0.083,0.791210895726153,0,0,"Y39B6A.48"
"17","cat-1","WBGene00000295",0.451,0.03,0.756687486790377,0,0,"W01C8.6"
"18","efhc-1","WBGene00013028",0.387,0.003,0.728547766956122,0,0,"Y49A10A.1"
"19","T03G11.3","WBGene00020196",0.442,0.041,0.717740967105797,0,0,"T03G11.3"
"20","bas-1","WBGene00000239",0.368,0.01,0.681654237952985,0,0,"C05D2.4"
"21","flp-33","WBGene00011586",0.345,0.009,0.649413727228288,0,0,"T07D10.6"
"22","nlp-16","WBGene00003754",0.378,0.031,0.648475029578042,0,0,"T13A10.5"
